Inst,Opcode,c_pc_stall,c_next_state,c_pc_next,c_imem_addr_sel,c_adiw_phase,c_rd_rr_sel,c_alu_op,c_alu_a_sel,c_alu_b_sel,c_imm_type,c_pc_offset_mode,c_branch_mode,c_skip,c_ex_out_sel,c_flags_mask,c_ram_op,c_io_op,c_dbus_out_sel,c_dbus_addr_sel,c_new_sreg_sel,c_mem_out_sel,c_ram_adr_sel,c_rd_w_en,c_rh_sel,c_rh_op,c_sp_op,c_rampz_inc
ADIW,10010110????????_00,1,01,next,pc,0,adiw,add,rf,imm,six,x,x,0,alu,00011111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
,10010110????????_01,0,00,next,pc,1,adiw,adc,rf,imm,zero,x,x,0,alu,00011111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
SBIW,10010111????????_00,1,01,next,pc,0,adiw,sub,rf,imm,six,x,x,0,alu,00011111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
,10010111????????_01,0,00,next,pc,1,adiw,sbc,rf,imm,zero,x,x,0,alu,00011111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
ADC,000111??????????_00,0,00,next,pc,x,5bit,adc,rf,rf,x,x,x,0,alu,00101111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
ADD,000011??????????_00,0,00,next,pc,x,5bit,add,rf,rf,x,x,x,0,alu,00101111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
SBC,000010??????????_00,0,00,next,pc,x,5bit,sub,rf,rf,x,x,x,0,alu,00111111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
SBCI,0100????????????_00,0,00,next,pc,x,4bit,sub,rf,imm,eight,x,x,0,alu,00111111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
AND,001000??????????_00,0,00,next,pc,x,5bit,and,rf,rf,x,x,x,0,alu,00001110,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
EOR,001001??????????_00,0,00,next,pc,x,5bit,xor,rf,rf,x,x,x,0,alu,00011110,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
OR,001010??????????_00,0,00,next,pc,x,5bit,or,rf,rf,x,x,x,0,alu,00011110,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
MOV,001011??????????_00,0,00,next,pc,x,5bit,or,zero,rf,x,x,x,0,alu,00011110,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
ANDI,0111????????????_00,0,00,next,pc,x,4bit,and,rf,imm,eight,x,x,0,alu,00001110,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
ORI,0110????????????_00,0,00,next,pc,x,4bit,or,rf,imm,eight,x,x,0,alu,00011110,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
ASR,1001010?????0101_00,0,00,next,pc,x,5bit,asr,rf,x,x,x,x,0,alu,00001111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
LSR,1001010?????0110_00,0,00,next,pc,x,5bit,lsr,rf,x,x,x,x,0,alu,00011111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
ROR,1001010?????0111_00,0,00,next,pc,x,5bit,ror,rf,x,x,x,x,0,alu,00011111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
NEG,1001010?????0001_00,0,00,next,pc,x,5bit,neg,rf,x,x,x,x,0,alu,00111111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
BCLR,100101001???1000_00,0,00,next,pc,x,x,andn,sreg,imm,mask_6_4,x,x,0,alu,x,nop,nop,x,x,alu,x,x,0,x,nop,nop,0
BSET,100101000???1000_00,0,00,next,pc,x,x,or,sreg,imm,mask_6_4,x,x,0,alu,x,nop,nop,x,x,alu,x,x,0,x,nop,nop,0
BLD,1111100?????0???_00,0,00,next,pc,x,5bit,bld,rf,imm,mask_2_0,x,x,0,alu,00000000,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
BST,1111101?????0???_00,0,00,next,pc,x,5bit,and,rf,imm,mask_2_0,x,x,0,alu,01000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
COM,1001010?????0000_00,0,00,next,pc,x,5bit,xor,rf,imm,ff,x,x,0,alu,00011111,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
DEC,1001010?????1010_00,0,00,next,pc,x,5bit,add,rf,imm,ff,x,x,0,alu,00011110,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
INC,1001010?????0011_00,0,00,next,pc,x,5bit,sub,rf,imm,ff,x,x,0,alu,00011110,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
ELPM0,1001010111011000_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,1001010111011000_01,0,00,next,ez,x,r0,x,x,x,x,x,x,0,inst,00000000,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
ELPMdZ,1001000?????0110_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,1001000?????0110_01,0,00,next,ez,x,5bit,x,x,x,x,x,x,0,inst,00000000,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
ELPMdZ+,1001000?????0111_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,1001000?????0111_01,0,00,next,ez,x,5bit,x,x,x,x,x,x,0,inst,00000000,nop,nop,x,x,sreg,ex_out,x,1,rh_z,nop,nop,0
LPM0Z,1001010111001000_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,1001010111001000_00,0,00,next,z,x,r0,x,x,x,x,x,x,0,inst,00000000,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
LPMdZ,1001000?????0100_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,1001000?????0100_00,0,00,next,z,x,5bit,x,x,x,x,x,x,0,inst,00000000,nop,nop,x,x,sreg,ex_out,x,1,x,nop,nop,0
LPMdZ+,1001000?????0101_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,1001000?????0101_00,0,00,next,z,x,5bit,x,x,x,x,x,x,0,inst,00000000,nop,nop,x,x,sreg,ex_out,x,1,rh_z,nop,nop,1
CP,000101??????????_00,0,00,next,pc,x,5bit,sub,rf,rf,x,x,x,0,x,00111111,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
CPC,000001??????????_00,0,00,next,pc,x,5bit,sbc,rf,rf,x,x,x,0,x,00111111,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
CPI,0011????????????_00,0,00,next,pc,x,4bit,sub,rf,imm,eight,x,x,0,x,00111111,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
BRBC,111101??????????_00,0,00,branch,pc,x,x,and,sreg,imm,mask_2_0,branch,nz,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
BRBS,111100??????????_00,0,00,branch,pc,x,x,and,sreg,imm,mask_2_0,branch,z,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
JMP,1001010?????110?_00,0,00,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
,1001010?????110?_01,0,01,inst,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
IJMP,1001010000001001_00,x,00,pc_z,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
RJMP,1100????????????_00,0,00,pc_offset,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,0,x,nop,nop,0
CALL,1001010?????111?_00,0,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,nop,nop,x,x,sreg,x,x,x,x,nop,nop,0
,1001010?????111?_01,1,10,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,write,nop,pc_low,x,sreg,x,sp,x,x,nop,dec,0
,1001010?????111?_10,x,00,inst,pc,x,x,x,x,x,x,x,x,0,x,00000000,write,nop,pc_high,ram,sreg,x,sp,x,x,nop,dec,0
ICALL,1001010100001001_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,write,nop,pc_low,ram,sreg,x,sp,x,x,nop,dec,0
,1001010100001001_01,x,00,pc_z,pc,x,x,x,x,x,x,x,x,0,x,00000000,write,nop,pc_high,ram,sreg,x,sp,x,x,nop,dec,0
RCALL,1101????????????_00,1,00,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,write,nop,pc_low,ram,sreg,x,sp,x,x,nop,dec,0
,1101????????????_01,x,01,pc_imm12,pc,x,x,x,x,x,x,x,x,0,x,00000000,write,nop,pc_high,ram,sreg,x,sp,x,x,nop,dec,0
RET,1001010100001000_00,1,01,next,pc,x,x,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,sp,0,x,nop,inc,0
,1001010100001000_01,0,00,return,pc,x,x,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,sp,0,x,nop,inc,0
RETI,1001010100011000_00,1,00,next,pc,x,x,x,,,,x,x,0,,,,,,,,,,,,,,
POP,1001000?????1111_00,0,00,next,pc,x,5bit,x,x,x,x,x,x,0,x,00000000,read,nop,x,ram,sreg,dbus,sp,1,x,nop,inc,0
PUSH,1001001?????1111_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,sp,0,x,nop,dec,0
STX,1001001?????1100_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh,0,rh_x,nop,nop,0
STX+,1001001?????1101_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh,0,rh_x,inc,nop,0
ST-X,1001001?????1110_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh,0,rh_x,dec,nop,0
STY,1000001?????1000_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh,0,rh_y,nop,nop,0
STY+,1001001?????1001_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh,0,rh_y,inc,nop,0
ST-Y,1001001?????1010_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh,0,rh_y,dec,nop,0
STY+q,10?0??1?????1???_00,0,00,next,pc,x,5bit,or,rf,imm,imm_q,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh_q,0,rh_y,nop,nop,0
STZ,1000001?????0000_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh,0,rh_z,nop,nop,0
STZ+,1001001?????0001_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh,0,rh_z,inc,nop,0
ST-Z,1001001?????0010_00,0,00,next,pc,x,5bit,or,rf,imm,zero,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh,0,rh_z,dec,nop,0
STZ+q,10?0??1?????0???_00,0,00,next,pc,x,5bit,or,rf,imm,imm_q,x,x,0,alu,00000000,write,nop,ex_out,ram,sreg,x,rh_q,0,rh_z,nop,nop,0
